BYTE	ERR	PERD	CORR	BER	BITERR	CORRCA	TAM	BAND
8	1	9	0	21.8750	14	2	64	31.2
8	9	1	0	21.8750	14	2	64	41.7
8	0	0	10	0	0	8	64	62.5
8	1	0	9	1.5625	1	7	64	125
8	0	0	10	0	0	8	64	250

16	5	5	0	24.2188	31	6	128	31.2
16	10	0	0	16.4063	21	7	128	41.7
16	7	0	2	7.8125	10	10	128	62.5
16	2	0	8	1.5625	2	15	128	125
16	0	0	10	0	0	16	128	250

32	3	7	0	23.4375	60	10	256	31.2
32	10	0	0	20.7031	53	13	256	41.7
32	10	0	0	13.6719	35	17	256	62.5
32	9	0	1	7.8125	20	21	256	125
32	0	0	10	0	0	32	256	250

48	6	4	0	25	96	17	384	31.2
48	9	1	0	17.7083	68	25	384	41.7
48	9	1	0	13.5417	52	28	384	62.5
48	9	0	1	11.7188	45	29	384	125
48	2	0	8	2.0833	8	44	384	250
