PACOTE;DISTÂNCIA;RSSI;RECEBIDO;MEDIA RSSI;MODA;MEDIANA;DESVIO PADRÃO;RSSI MODELO ESP LIVRE;RSSI MODELO SEM VISADA;PARAMETRO;MODELO;
1;145,3118694;-134;1;-134,1;-135;-134;0,875595036;-112,9926008;-127,5185593;;COM VISADA;SEM VISADA
;145,3118694;-133;2;;;;;;;N;1,3507;2,7604
;145,3118694;-134;3;;;;;;;P0;-83,7864;-67,8304
;145,3118694;-133;4;;;;;;;;;
;145,3118694;-133;5;;;;;;;;;
;145,3118694;-134;6;;;;;;;;;
;145,3118694;-135;7;;;;;;;;;
;145,3118694;-135;8;;;;;;;;;
;145,3118694;-135;9;;;;;;;;;
;145,3118694;-135;10;;;;;;;;;
2;398,3900336;-136;1;-136,5;-136;-136,5;0,527046277;-118,9087664;-139,6093149;;;
;398,3900336;-137;2;;;;;;;;;
;398,3900336;-136;3;;;;;;;;;
;398,3900336;-137;4;;;;;;;;;
;398,3900336;-136;5;;;;;;;;;
;398,3900336;-137;6;;;;;;;;;
;398,3900336;-137;7;;;;;;;;;
;398,3900336;-137;8;;;;;;;;;
;398,3900336;-136;9;;;;;;;;;
;398,3900336;-136;10;;;;;;;;;
3;617,9528267;-136;1;-137;-137;-137;0,483045892;-121,4838335;-144,8719307;;;
;617,9528267;-137;2;;;;;;;;;
;617,9528267;-137;3;;;;;;;;;
;617,9528267;-137;4;;;;;;;;;
;617,9528267;-137;5;;;;;;;;;
;617,9528267;-136;6;;;;;;;;;
;617,9528267;-136;7;;;;;;;;;
;617,9528267;-137;8;;;;;;;;;
;617,9528267;-137;9;;;;;;;;;
;617,9528267;-137;10;;;;;;;;;
4;651,4036074;-136;1;-136;-136;-136;0,316227766;-121,7930741;-145,5039198;;;
;651,4036074;-136;2;;;;;;;;;
;651,4036074;-136;3;;;;;;;;;
;651,4036074;-136;4;;;;;;;;;
;651,4036074;-136;5;;;;;;;;;
;651,4036074;-136;6;;;;;;;;;
;651,4036074;-136;7;;;;;;;;;
;651,4036074;-136;8;;;;;;;;;
;651,4036074;-136;9;;;;;;;;;
