R LAT  P Long    
LAT -21.777370 LONG -43.373580
LAT -21.776731 LONG -43.369949
LAT -21.781316 LONG -43.367511
LAT -21.781587 LONG -43.367248
LAT -21.785594 LONG -43.368061
LAT -21.785594 LONG -43.368061
LAT -21.785636 LONG -43.368053
LAT -21.783840 LONG -43.369724
LAT -21.781837 LONG -43.366977
LAT -21.781831 LONG -43.366958
LAT -21.781810 LONG -43.366950
LAT -21.776643 LONG -43.368167
LAT -21.774480 LONG -43.367271
LAT -21.774490 LONG -43.370262
LAT -21.774671 LONG -43.370212
LAT -21.779495 LONG -43.374118
LAT -21.777620 LONG -43.370433
LAT -21.785652 LONG -43.367965
LAT -21.784282 LONG -43.369827
LAT -21.780538 LONG -43.367759
LAT -21.777332 LONG -43.367340
LAT -21.777132 LONG -43.366188
LAT -21.775932 LONG -43.364196
LAT -21.775979 LONG -43.364440
LAT -21.776924 LONG -43.365985
LAT -21.773260 LONG -43.365268
LAT -21.773260 LONG -43.365268
LAT -21.775432 LONG -43.366886
LAT -21.774515 LONG -43.367275
LAT -21.774240 LONG -43.367305
LAT -21.774328 LONG -43.370254
LAT -21.774328 LONG -43.370254
LAT -21.777896 LONG -43.370708
LAT -21.778324 LONG -43.371395
LAT -21.777116 LONG -43.371589
LAT -21.777088 LONG -43.371616

